Name,Specialties,Gender,Language,City,Zipcode,Overall_Ratings,Total_Reviews,Wait_Time_Score,Manner_Score,Video_Visit,Doc_Urls
"Dr. Areeba Ahmed, DPM",Podiatrist,Female,English,"New York, NY",10036,4.91,11 reviews,4.70,5.00,True,https://www.zocdoc.com/doctor/areeba-ahmed-dpm-289937
"Dr. Mourad Shehebar, MD",Pain Management Specialist,Male,"English
Spanish
Hebrew","New York, NY",10029,4.88,8 reviews,4.50,5.00,False,https://www.zocdoc.com/doctor/mourad-shehebar-md-209255
"Elizabeth Grayson Stadler, LCSW",Psychotherapist,Female,English,"New York, NY",None,5.00,3 reviews,5.00,5.00,True,https://www.zocdoc.com/professional/elizabeth-grayson-stadler-lcsw-293534
"Sarah Bellows, LCSW",Psychotherapist,Female,English,"Brooklyn, NY",11242,None,None,None,None,True,https://www.zocdoc.com/professional/sarah-bellows-lcsw-294058
"Dr. Fan Mou, DDS","Dentist, Cosmetic Dentist",Female,"English
Chinese (Mandarin)
Chinese (Cantonese)","New York, NY",10016,4.82,189 reviews,4.81,4.85,False,https://www.zocdoc.com/dentist/fan-mou-dds-74858
"Darcy Lockman, PhD",Psychologist,Female,English,"New York, NY",None,5.00,9 reviews,4.86,5.00,True,https://www.zocdoc.com/doctor/darcy-lockman-phd-199205
"Dr. Rami Tadros, MD",Vascular Surgeon,Male,"English
Spanish
Arabic","New York, NY",10029,None,None,None,None,False,https://www.zocdoc.com/doctor/rami-tadros-md-243932
"Dr. Cristian Harghel, MD","Geriatrician, Internist, Primary Care Doctor",Male,"English
French
Romanian","Oakland Gardens, NY",11364,4.92,218 reviews,4.50,4.95,False,https://www.zocdoc.com/doctor/cristian-harghel-md-79123
"Dr. Shrishyla (Shri) Yelgar, OD",Optometrist,Male,English,"New York, NY",10036,4.80,172 reviews,4.24,4.93,False,https://www.zocdoc.com/doctor/shrishyla-shri-yelgar-od-285525
"Dr. Igal Khorshidi, MD, MS",Gastroenterologist,Male,"English
Spanish","Elmhurst, NY",11373,None,None,None,None,False,https://www.zocdoc.com/doctor/igal-khorshidi-md-ms-70410
"Dr. Natalia Bartkova, DDS","Dentist, Cosmetic Dentist",Female,"English
Russian
Polish
Ukrainian","New York, NY",10075,4.60,183 reviews,4.71,4.54,False,https://www.zocdoc.com/dentist/natalia-bartkova-dds-24810
"Dr. Charles Nordin, MD",Cardiologist,Male,English,"Bronx, NY",10467,None,None,None,None,False,https://www.zocdoc.com/doctor/charles-nordin-md-287194
"Dr. Peter McCann, MD","Orthopedic Surgeon, Shoulder Surgeon",Male,English,"New York, NY",None,4.57,46 reviews,4.25,4.55,True,https://www.zocdoc.com/doctor/peter-mccann-md-240202
"Dr. Marina Kotlyar, OD",Optometrist,Female,"English
Russian","Brooklyn, NY",11229,4.68,201 reviews,4.27,4.73,True,https://www.zocdoc.com/doctor/marina-kotlyar-od-31542
"Dr. Doron Katz, MD",Primary Care Doctor,Male,English,"New York, NY",07631,4.93,406 reviews,4.83,4.93,True,https://www.zocdoc.com/doctor/doron-katz-md-2518
"Dr. Alan Adler, MD",OB-GYN,Male,English,"Brooklyn, NY",11201,4.81,52 reviews,4.28,4.83,False,https://www.zocdoc.com/doctor/alan-adler-md-13666
"Melissa Smirnow, PA",Physician Assistant,Female,English,"New York, NY",None,4.94,52 reviews,4.64,4.93,True,https://www.zocdoc.com/doctor/melissa-smirnow-pa-248927
"Dong Hwan Lee, LAc",Acupuncturist,Male,"English
Korean
Chinese (Mandarin)","New York, NY",10022,5.00,14 reviews,4.67,4.92,False,https://www.zocdoc.com/doctor/dong-hwan-lee-lac-282162
"Dr. Viren Patel, OD",Optometrist,Male,"English
Spanish","Bronx, NY",10467,4.85,157 reviews,4.19,4.84,False,https://www.zocdoc.com/doctor/viren-patel-od-168690
"Dr. Marc Handler, MD",Dermatologist,Male,English,"Bronx, NY",10451,4.42,19 reviews,4.36,4.50,False,https://www.zocdoc.com/doctor/marc-handler-md-293137
"Dr. Connie Liu, MD",OB-GYN,Female,"English
Spanish","New York, NY",10010,4.70,4023 reviews,3.56,4.81,False,https://www.zocdoc.com/doctor/connie-liu-md-31855
"Dr. Justin Bral, DDS",Dentist,Male,"English
Farsi","Brooklyn, NY",11222,4.92,12 reviews,4.75,4.92,False,https://www.zocdoc.com/dentist/justin-bral-dds-288640
"Charles Rosen, LCSW",Psychotherapist,Male,English,"New York, NY",10024,5.00,10 reviews,5.00,5.00,True,https://www.zocdoc.com/professional/charles-rosen-lcsw-235897
"Dr. Jonathan Okon, DMD","Dentist, Cosmetic Dentist",Male,English,"New York, NY",10017,4.85,168 reviews,4.84,4.87,False,https://www.zocdoc.com/dentist/jonathan-okon-dmd-61244
"Dr. Steven Gruenstein, MD","Oncologist, Hematologist",Male,"English
Italian","New York, NY",10028,4.85,55 reviews,4.38,4.81,False,https://www.zocdoc.com/doctor/steven-gruenstein-md-279473
"Dr. Daniel Cuzzone, MD",Plastic Surgeon,Male,English,"New York, NY",None,5.00,5 reviews,4.60,5.00,True,https://www.zocdoc.com/doctor/daniel-cuzzone-md-294841
"Dr. Anna Kharitonova, DO",Psychiatrist,Female,English,"Brooklyn, NY",11235,4.43,14 reviews,4.07,4.43,False,https://www.zocdoc.com/doctor/anna-kharitonova-do-288827
"Dr. Philip Mathew, MD",Internist,Male,English,"Elmhurst, NY",11373,5.00,None,None,None,False,https://www.zocdoc.com/doctor/philip-mathew-md-252235
"Dr. Henry Wu, MD, FACC",Cardiologist,Male,"English
Chinese (Cantonese)","New York, NY",10019,4.82,148 reviews,4.39,4.79,True,https://www.zocdoc.com/doctor/henry-wu-md-facc-67427
"Dr. Andrea Flores, DC",Chiropractor,Female,"English
Spanish","New York, NY",10011,5.00,22 reviews,4.91,5.00,True,https://www.zocdoc.com/doctor/andrea-flores-dc-280744
"Dr. Stephanie Lee, DO",Pediatrician,Female,"English
Chinese (Cantonese)","Brooklyn, NY",11220,None,None,None,None,False,https://www.zocdoc.com/doctor/stephanie-lee-do-291665
"Dr. Edward Wong, DDS",Dentist,Male,English,"New York, NY",10013,4.96,282 reviews,4.88,4.96,False,https://www.zocdoc.com/dentist/edward-wong-dds-190265
"Dr. Nicolas Biro, MD",Ophthalmologist,Male,"English
French
Spanish","New York, NY",10003,4.71,136 reviews,4.25,4.71,False,https://www.zocdoc.com/doctor/nicolas-biro-md-212129
"Dr. Keith Heller, DDS","Dentist, Cosmetic Dentist",Male,English,"Brooklyn, NY",11231,4.85,27 reviews,4.81,4.85,False,https://www.zocdoc.com/dentist/keith-heller-dds-258048
"Dr. Ifraim Agababayev, DDS","Dentist, Cosmetic Dentist",Male,"English
Russian","New York, NY",10019,5.00,10 reviews,4.80,5.00,False,https://www.zocdoc.com/dentist/ifraim-agababayev-dds-176391
"Kelli McGinness, LMSW",Psychotherapist,Female,English,"New York, NY",10001,5.00,None,5.00,5.00,True,https://www.zocdoc.com/professional/kelli-mcginness-lmsw-291150
"Dr. Di Zhou, MD",Ophthalmologist,Female,"English
Chinese (Mandarin)","New York, NY",10016,4.88,26 reviews,4.31,4.96,False,https://www.zocdoc.com/doctor/di-zhou-md-287934
"Arvin Bains, LCSW",Psychotherapist,Male,English,"Brooklyn, NY",11201,4.80,None,4.80,5.00,False,https://www.zocdoc.com/professional/arvin-bains-lcsw-296260
"Suhadee (Su) Henriquez, LCSW",Psychotherapist,Female,"English
Spanish","New York, NY",10003,5.00,1 review,5.00,5.00,True,https://www.zocdoc.com/professional/suhadee-su-henriquez-lcsw-298310
"Dr. Clark Huang, MD","Ear, Nose & Throat Doctor",Male,"English
Spanish
Chinese (Mandarin)","New York, NY",10022,4.92,1024 reviews,4.67,4.91,False,https://www.zocdoc.com/doctor/clark-huang-md-32431
"Danielle Wolman, CASAC, LCSW",Psychotherapist,Female,English,"New York, NY",10016,4.57,35 reviews,4.61,4.79,True,https://www.zocdoc.com/professional/danielle-wolman-casac-lcsw-290381
"Shuk Ying Virginia Lee, FNP","Family Nurse Practitioner, Nurse Practitioner",Female,"English
Chinese (Mandarin)
Chinese (Cantonese)","Flushing, NY",None,4.88,None,4.00,4.88,True,https://www.zocdoc.com/doctor/shuk-ying-virginia-lee-fnp-283783
"Dr. Kenneth Gonoud, DC",Chiropractor,Male,"English
Spanish
Italian","Bronx, NY",10465,4.33,None,5.00,5.00,False,https://www.zocdoc.com/doctor/kenneth-gonoud-dc-294300
"Dr. Stephen Wilson, MD",Physiatrist,Male,English,"Forest Hills, NY",11375,3.93,14 reviews,2.77,4.23,False,https://www.zocdoc.com/doctor/stephen-wilson-md-175517
"Noelle Ionadi, PAC",Physician Assistant,Female,English,"New York, NY",None,4.96,51 reviews,4.60,4.95,True,https://www.zocdoc.com/doctor/noelle-ionadi-pac-244848
"Dr. Lisa Alex, MD",Internist,Female,"English
Malayalam","New York, NY",10022,4.80,208 reviews,4.45,4.88,True,https://www.zocdoc.com/doctor/lisa-alex-md-277141
"Dr. Praveen Kumrah, DPM",Podiatrist,Male,"English
Spanish
Hindi","Bronx, NY",10463,4.69,84 reviews,4.32,4.73,False,https://www.zocdoc.com/doctor/praveen-kumrah-dpm-51037
"Dr. Jonathan Cho, OD",Optometrist,Male,"English
Korean","Bayside, NY",11360,5.00,3 reviews,5.00,5.00,False,https://www.zocdoc.com/doctor/jonathan-cho-od-294171
"Dr. Sophia Visanji, OD",Optometrist,Female,English,"New York, NY",10075,4.82,461 reviews,4.73,4.85,False,https://www.zocdoc.com/doctor/sophia-visanji-od-148992
"Dr. Subhash Kini, MD","Bariatric Surgeon, Surgeon",Male,"English
Spanish
Hindi
Tamil","New York, NY",10025,5.00,None,4.17,5.00,False,https://www.zocdoc.com/doctor/subhash-kini-md-243806
"Dr. Michelle Levite, DDS","Dentist, Cosmetic Dentist",Female,"English
Hebrew
Farsi
Arabic
Russian","New York, NY",10016,4.45,131 reviews,4.64,4.56,False,https://www.zocdoc.com/dentist/michelle-levite-dds-40619
"Dr. George A. Zikos, OD",Optometrist,Male,"English
Greek","New York, NY",10022,4.84,70 reviews,4.66,4.85,True,https://www.zocdoc.com/doctor/george-a-zikos-od-240546
"Dr. Natalie Hirayama, DMD","Dentist, Cosmetic Dentist",Female,English,"New York, NY",10026,4.89,28 reviews,4.69,4.96,False,https://www.zocdoc.com/dentist/natalie-hirayama-dmd-291958
"Dr. Michael Teng, DDS",Dentist,Male,"English
Chinese (Mandarin)","New York, NY",10028,4.88,600 reviews,4.92,4.88,False,https://www.zocdoc.com/dentist/michael-teng-dds-22230
"Dr. Frederick Ast, MD","Internist, Primary Care Doctor",Male,"English
Spanish
Tagalog","New York, NY",10016,4.37,878 reviews,4.09,4.46,False,https://www.zocdoc.com/doctor/frederick-ast-md-7372
"Dr. Camila Passias, MD",Internist,Female,English,"Brooklyn, NY",11201,4.93,195 reviews,4.63,4.91,False,https://www.zocdoc.com/doctor/camila-passias-md-199485
"Dr. Andrew Miller, MD","Pediatric Orthopedic Surgeon, Orthopedic Surgeon",Male,"English
Russian","Forest Hills, NY",11375,4.42,216 reviews,4.02,4.51,False,https://www.zocdoc.com/doctor/andrew-miller-md-9763
"Dr. Anuj Bhardwaj, MD",Pediatrician,Male,English,"Bronx, NY",10462,4.58,19 reviews,4.72,4.78,False,https://www.zocdoc.com/doctor/anuj-bhardwaj-md-241148
"Dr. Michael Esses, DDS","Dentist, Cosmetic Dentist",Male,"English
Spanish
Hebrew
Arabic
Russian","Brooklyn, NY",11229,4.93,95 reviews,4.78,4.95,False,https://www.zocdoc.com/dentist/michael-esses-dds-140070
"Navah C. Kaplan, PhD","Psychologist, Psychotherapist",Female,English,"New York, NY",10128,None,None,None,None,True,https://www.zocdoc.com/professional/navah-c-kaplan-phd-239519
"Lee Schwalb, LAc",Acupuncturist,Male,English,"New York, NY",10017,None,None,None,None,False,https://www.zocdoc.com/doctor/lee-schwalb-lac-285770
"Dr. Valerie Wells, MD, FACOG","Gynecologist, OB-GYN",Female,English,"New York, NY",10028,4.95,1257 reviews,4.08,4.96,False,https://www.zocdoc.com/doctor/valerie-wells-md-facog-49927
"Dr. Erkan Buyuk, MD",Reproductive Endocrinologist,Male,English,"New York, NY",10022,None,None,None,None,True,https://www.zocdoc.com/doctor/erkan-buyuk-md-298182
"Mark Spergel, PhD, LP",Psychotherapist,Male,English,"New York, NY",10016,None,None,None,None,False,https://www.zocdoc.com/professional/mark-spergel-phd-lp-298701
"Dr. Ilya Burshteyn, MD","Internist, Primary Care Doctor",Male,"English
Russian","Brooklyn, NY",11230,4.55,215 reviews,4.40,4.61,False,https://www.zocdoc.com/doctor/ilya-burshteyn-md-159948
"Dr. Aleksey Lazarev, MD","Orthopedic Surgeon, Sports Medicine Specialist",Male,"English
Russian","New York, NY",10001,4.83,35 reviews,4.37,4.83,False,https://www.zocdoc.com/doctor/aleksey-lazarev-md-281441
"Dr. Jeffrey S. Kalman, MD",Gastroenterologist,Male,English,"Staten Island, NY",10314,4.91,23 reviews,3.95,5.00,False,https://www.zocdoc.com/doctor/jeffrey-s-kalman-md-254918
"Dr. Reid Ravin, MD","Vascular Surgeon, Surgeon",Male,English,"New York, NY",10019,None,None,None,None,False,https://www.zocdoc.com/doctor/reid-ravin-md-243637
"Dr. Steven Ali, OD",Optometrist,Male,English,"New York, NY",10022,4.93,15 reviews,3.73,4.93,False,https://www.zocdoc.com/doctor/steven-ali-od-290532
"Dr. Jeffrey Crespin, MD","Gastroenterologist, Internist, Primary Care Doctor",Male,"English
Spanish","New York, NY",10065,4.56,2031 reviews,4.47,4.61,False,https://www.zocdoc.com/doctor/jeffrey-crespin-md-3260
"Dr. Anna Kezerashvili, MD",Cardiologist,Female,"English
Spanish
Italian
Russian
Korean","Bronx, NY",10461,4.78,142 reviews,3.89,4.78,False,https://www.zocdoc.com/doctor/anna-kezerashvili-md-206103
"Dr. Nicole Harkin, MD",Cardiologist,Female,"English
Spanish","New York, NY",10010,4.93,131 reviews,4.60,4.97,False,https://www.zocdoc.com/doctor/nicole-harkin-md-245049
"Dr. James D. Lin, MD",Spine Specialist,Male,English,"New York, NY",None,4.85,27 reviews,4.39,4.91,True,https://www.zocdoc.com/doctor/james-d-lin-md-287008
"Dr. Diana Ilyasova, OD",Optometrist,Female,"English
Russian","Bronx, NY",10462,4.85,181 reviews,3.91,4.87,False,https://www.zocdoc.com/doctor/diana-ilyasova-od-64206
"Dr. Caroline Barsoum, DMD","Prosthodontist, Dentist, Cosmetic Dentist, Dental Pain Specialist",Female,"English
French
Spanish","New York, NY",10012,4.92,395 reviews,4.86,4.93,False,https://www.zocdoc.com/dentist/caroline-barsoum-dmd-35619
"Dr. Sunil Kukreja, MD","Spine Specialist, Orthopedic Surgeon",Male,"English
Hindi","New York, NY",10016,4.29,24 reviews,4.35,4.61,False,https://www.zocdoc.com/doctor/sunil-kukreja-md-255986
"Dr. Michael Blechman, MD",Gastroenterologist,Male,English,"New York, NY",None,4.92,12 reviews,4.70,4.80,True,https://www.zocdoc.com/doctor/michael-blechman-md-282231
"Marina Doktorman, LAc",Acupuncturist,Female,English,"New York, NY",10022,None,None,None,None,False,https://www.zocdoc.com/doctor/marina-doktorman-lac-295688
"Chien-Ming Liao, PT",Physical Therapist,Male,"English
Taiwanese","New York, NY",10019,5.00,8 reviews,5.00,5.00,False,https://www.zocdoc.com/professional/chien-ming-liao-pt-290141
"Dr. Amy Chan, MD",Neurologist,Female,"English
Chinese (Mandarin)
Chinese (Cantonese)","New York, NY",10029,None,None,None,None,False,https://www.zocdoc.com/doctor/amy-chan-md-248532
"Dr. Pavel Filimonov, MD",Psychiatrist,Male,"English
Russian","New York, NY",10016,3.91,11 reviews,3.91,3.82,False,https://www.zocdoc.com/doctor/pavel-filimonov-md-203492
"Dr. Nicolas Gno, MD","Ear, Nose & Throat Doctor",Male,"English
Spanish","Bronx, NY",10458,3.53,210 reviews,4.04,3.60,False,https://www.zocdoc.com/doctor/nicolas-gno-md-1840
"Dr. Mariana Marcu, MD",Allergist,Female,"English
Spanish
Romanian","New York, NY",10012,4.74,777 reviews,4.29,4.78,False,https://www.zocdoc.com/doctor/mariana-marcu-md-1631
"Ayla Sitt, PsyD",Psychologist,Female,English,"New York, NY",None,None,None,None,None,True,https://www.zocdoc.com/doctor/ayla-sitt-psyd-287372
"Dr. Maxim Tyorkin, MD","Orthopedic Surgeon, Sports Medicine Specialist",Male,"English
Spanish
Russian","Bronx, NY",10455,4.47,665 reviews,4.46,4.47,False,https://www.zocdoc.com/doctor/maxim-tyorkin-md-1671
"Dr. Konstantin Peysin, DO",Gastroenterologist,Male,English,"Brooklyn, NY",11235,4.96,24 reviews,4.27,4.95,False,https://www.zocdoc.com/doctor/konstantin-peysin-do-289373
"Robert Fraum, PhD","Psychologist, Psychotherapist",Male,English,"New York, NY",10016,4.92,13 reviews,5.00,4.92,False,https://www.zocdoc.com/professional/robert-fraum-phd-56155
"Monica Nastasi, LCSW",Psychotherapist,Female,English,"Brooklyn, NY",11211,5.00,10 reviews,4.89,5.00,True,https://www.zocdoc.com/professional/monica-nastasi-lcsw-294673
"Dr. Christopher Chow, DPM",Podiatrist,Male,"English
Chinese (Mandarin)
Chinese (Cantonese)","New York, NY",10013,4.25,32 reviews,4.04,4.32,False,https://www.zocdoc.com/doctor/christopher-chow-dpm-194900
"Dr. Lauren Cohen, MD",OB-GYN,Female,English,"Brooklyn, NY",11249,4.50,2 reviews,5.00,5.00,False,https://www.zocdoc.com/doctor/lauren-cohen-md-262443
"Dr. Brenda Levy, MD",Pediatrician,Female,English,"Bronx, NY",10461,5.00,6 reviews,3.83,5.00,False,https://www.zocdoc.com/doctor/brenda-levy-md-207434
"Dr. Amyn Lakhani, DPM",Podiatrist,Male,"English
Hindi
Urdu
Gujarati","New York, NY",10010,4.23,31 reviews,4.44,4.48,False,https://www.zocdoc.com/doctor/amyn-lakhani-dpm-249781
"Dr. Elizabeth Sharp, MD","Internist, Primary Care Doctor",Female,English,"New York, NY",None,4.92,352 reviews,4.71,4.95,True,https://www.zocdoc.com/doctor/elizabeth-sharp-md-261067
"Dr. Sasha Alexander, DDS",Endodontist,Male,English,"New York, NY",10006,4.80,None,5.00,4.80,False,https://www.zocdoc.com/dentist/sasha-alexander-dds-281956
"Dr. Peter Hon, MD","Colorectal Surgeon, Surgeon",Male,English,"Long Island City, NY",11102,4.60,42 reviews,3.64,4.62,False,https://www.zocdoc.com/doctor/peter-hon-md-274751
"Dr. Mark McMahon, MD",Sports Medicine Specialist,Male,English,"New York, NY",10075,None,None,None,None,True,https://www.zocdoc.com/doctor/mark-mcmahon-md-296307
"Ridhima Ohri, MS",Psychotherapist,Female,English,"New York, NY",10016,4.69,35 reviews,4.79,4.85,False,https://www.zocdoc.com/professional/ridhima-ohri-ms-287341
"Dr. Michael Genkin, DPM",Podiatrist,Male,"English
Russian","New York, NY",10006,4.81,183 reviews,4.77,4.83,False,https://www.zocdoc.com/doctor/michael-genkin-dpm-122138
"Alexis Kopp-Smith, PhD",Psychologist,Female,English,"New York, NY",10001,4.80,10 reviews,5.00,4.90,False,https://www.zocdoc.com/doctor/alexis-kopp-smith-phd-34728
"Dr. Robert Berg, MD",OB-GYN,Male,"English
Spanish","New York, NY",10016,4.33,229 reviews,3.36,4.39,False,https://www.zocdoc.com/doctor/robert-berg-md-9408
"Dr. Clifford Stark, DO",Family Physician,Male,English,"New York, NY",10010,4.70,666 reviews,4.50,4.66,True,https://www.zocdoc.com/doctor/clifford-stark-do-9631
"Sin Yan Lo, MSN, NP",Adult Psychiatric & Mental Health Nurse Practitioner,Female,"English
Chinese (Mandarin)
Chinese (Cantonese)","New York, NY",None,5.00,None,5.00,5.00,True,https://www.zocdoc.com/doctor/sin-yan-lo-msn-np-295579
"Dr. Mehrdad Noorani, DMD","Dentist, Cosmetic Dentist",Male,"English
Farsi","New York, NY",10016,4.62,290 reviews,4.71,4.58,False,https://www.zocdoc.com/dentist/mehrdad-noorani-dmd-56283
"Dr. Scott Fine, DDS","Dentist, Cosmetic Dentist",Male,English,"New York, NY",10016,4.94,35 reviews,4.82,4.97,False,https://www.zocdoc.com/dentist/scott-fine-dds-102061
"Dr. Adam Merriam, DDS","Oral Surgeon, Dentist",Male,English,"Elmhurst, NY",11373,None,None,None,None,False,https://www.zocdoc.com/dentist/adam-merriam-dds-285927
"Dr. Bisma Sohail, DMD","Dentist, Cosmetic Dentist",Female,"English
Hindi
Urdu","New York, NY",10017,5.00,14 reviews,5.00,5.00,False,https://www.zocdoc.com/dentist/bisma-sohail-dmd-274443
"Dr. Edouard Kouzougian, DMD","Dentist, Cosmetic Dentist, Dental Pain Specialist",Male,"English
Romanian
Armenian","Forest Hills, NY",11375,5.00,42 reviews,4.90,4.95,False,https://www.zocdoc.com/dentist/edouard-kouzougian-dmd-63069
"Dr. Mei Wong, DO",Pediatrician,Female,"English
Chinese (Mandarin)
Chinese (Cantonese)","New York, NY",None,4.90,10 reviews,4.00,5.00,True,https://www.zocdoc.com/doctor/mei-wong-do-283796
"Dr. Zalman Lewis, DDS",Periodontist,Male,English,"Staten Island, NY",10314,None,None,None,None,False,https://www.zocdoc.com/dentist/zalman-lewis-dds-287938
"Virali Patel, PA",Physician Assistant,Female,English,"New York, NY",10038,4.58,66 reviews,4.44,4.80,False,https://www.zocdoc.com/doctor/virali-patel-pa-287747
"Karla Fallon, PhD, LMHC",Psychotherapist,Female,English,"New York, NY",10017,4.96,130 reviews,4.99,4.98,False,https://www.zocdoc.com/professional/karla-fallon-phd-lmhc-143848
"Dr. Martin Grajower, MD",Endocrinologist,Male,English,"Bronx, NY",10463,4.97,37 reviews,4.53,5.00,False,https://www.zocdoc.com/doctor/martin-grajower-md-251375
"Dr. Evelyn Baran, DDS","Dentist, Cosmetic Dentist",Female,"English
Spanish","New York, NY",10010,4.94,398 reviews,4.79,4.95,False,https://www.zocdoc.com/dentist/evelyn-baran-dds-127077
"Dr. Charles Suede, MD","Anesthesiologist, Pain Management Specialist",Male,English,"Brooklyn, NY",11220,4.79,66 reviews,3.67,4.67,False,https://www.zocdoc.com/doctor/charles-suede-md-34985
"Dr. Margaret Wou, MD",Pediatrician,Female,English,"Flushing, NY",None,4.88,None,4.75,5.00,True,https://www.zocdoc.com/doctor/margaret-wou-md-283799
"Dr. Simbiat Oladiran-Adighije, PhD, NP",Nurse Practitioner,Female,"English
Yoruba","New York, NY",10006,4.40,15 reviews,4.71,4.43,False,https://www.zocdoc.com/doctor/simbiat-oladiran-adighije-phd-np-275000
"Dr. Allen J. Fishman, MD",Ophthalmologist,Male,English,"Rego Park, NY",11374,4.75,72 reviews,4.10,4.70,False,https://www.zocdoc.com/doctor/allen-j-fishman-md-74694
"Dr. Daniel Adler, MD",Gastroenterologist,Male,English,"New York, NY",10022,4.90,279 reviews,4.55,4.88,True,https://www.zocdoc.com/doctor/daniel-adler-md-285466
"Gina Keatley, CDN, MBA",Dietitian,Female,English,"New York, NY",10012,5.00,None,5.00,5.00,True,https://www.zocdoc.com/doctor/gina-keatley-cdn-mba-298176
"Irina Voskoboynik, LCSW",Psychotherapist,Female,"English
Russian","Brooklyn, NY",None,None,None,None,None,True,https://www.zocdoc.com/professional/irina-voskoboynik-lcsw-192112
"Dr. Steven Rogers, MD",Gastroenterologist,Male,English,"New York, NY",None,5.00,39 reviews,4.26,5.00,True,https://www.zocdoc.com/doctor/steven-rogers-md-277236
"Dr. Chandana Attoti, MD, FACC",Cardiologist,Female,English,"Bronx, NY",10458,4.42,19 reviews,3.68,4.53,False,https://www.zocdoc.com/doctor/chandana-attoti-md-facc-213410
"Dr. Ann Glassman, MD",Family Physician,Female,English,"New York, NY",None,4.77,128 reviews,4.68,4.69,True,https://www.zocdoc.com/doctor/ann-glassman-md-221681
"Robert Acong, PT",Physical Therapist,Male,English,"New York, NY",10036,None,None,None,None,False,https://www.zocdoc.com/professional/robert-acong-pt-289663
"Gonca Candan, PhD",Physical Therapist,Female,"English
Turkish","New York, NY",10022,5.00,14 reviews,5.00,5.00,False,https://www.zocdoc.com/professional/gonca-candan-phd-279302
"Asia Todd, MSN, NP",Adult Psychiatric & Mental Health Nurse Practitioner,Female,English,"New York, NY",10016,4.80,25 reviews,4.88,4.84,False,https://www.zocdoc.com/doctor/asia-todd-msn-np-289981
"Caroline Reid, CNM",Midwife,Female,English,"New York, NY",10176,4.90,10 reviews,4.89,5.00,False,https://www.zocdoc.com/doctor/caroline-reid-cnm-291980
"Dr. Baron Lonner, MD","Spine Specialist, Orthopedic Surgeon",Male,English,"New York, NY",10075,5.00,None,4.29,5.00,False,https://www.zocdoc.com/doctor/baron-lonner-md-283135
"Dr. Gerald Gaughan, MD",Physiatrist,Male,English,"Ardsley, NY",10502,4.50,12 reviews,3.83,4.67,False,https://www.zocdoc.com/doctor/gerald-gaughan-md-147118
"Dr. Jacob (Yakov) Dudelzak, MD",Dermatologist,Male,"English
Russian","Brooklyn, NY",11235,3.92,832 reviews,3.46,4.23,False,https://www.zocdoc.com/doctor/jacob-yakov-dudelzak-md-24760
"Dr. Eunjung Jo, DDS",Dentist,Female,"English
Korean","New York, NY",10011,4.97,1069 reviews,4.98,4.98,False,https://www.zocdoc.com/dentist/eunjung-jo-dds-73822
"Dr. Russell L. Berdoff, MD",Cardiologist,Male,English,"New York, NY",None,4.88,8 reviews,4.14,5.00,True,https://www.zocdoc.com/doctor/russell-l-berdoff-md-249269
"Nichole Wilson, NP",Nurse Practitioner,Female,English,"Bronx, NY",None,4.00,None,None,None,False,https://www.zocdoc.com/doctor/nichole-wilson-np-297561
"Dr. Gerald Wank, DDS","Dentist, Cosmetic Dentist, Dental Pain Specialist",Male,"English
Spanish","New York, NY",10065,4.83,41 reviews,4.85,4.85,False,https://www.zocdoc.com/dentist/gerald-wank-dds-171695
"Dr. Ken Truong, MD","Internist, Primary Care Doctor",Male,"English
Spanish","Astoria, NY",11106,4.75,1805 reviews,4.44,4.75,False,https://www.zocdoc.com/doctor/ken-truong-md-48136
"Dr. Jessica Rosenblum, DO",OB-GYN,Female,English,"Bronx, NY",10461,4.80,15 reviews,4.43,4.71,False,https://www.zocdoc.com/doctor/jessica-rosenblum-do-292155
"Dr. Leah Ansell, MD",Dermatologist,Female,"English
Spanish
German","New York, NY",10028,4.99,86 reviews,4.75,5.00,False,https://www.zocdoc.com/doctor/leah-ansell-md-243214
"Rainegale Pesidas, DPT, PT",Physical Therapist,Female,English,"New York, NY",10036,4.93,103 reviews,4.97,4.97,False,https://www.zocdoc.com/professional/rainegale-pesidas-dpt-pt-170425
"Dr. Keith Blechman, MD",Plastic Surgeon,Male,English,"New York, NY",10065,5.00,75 reviews,4.89,4.96,False,https://www.zocdoc.com/doctor/keith-blechman-md-112984
"Dr. Neha Pathak, DPM",Podiatrist,Female,"English
Spanish","New York, NY",10011,4.48,563 reviews,4.61,4.61,True,https://www.zocdoc.com/doctor/neha-pathak-dpm-237962
"Melanie Brown, PhD",Psychologist,Female,English,"New York, NY",10029,None,None,None,None,False,https://www.zocdoc.com/doctor/melanie-brown-phd-253393
"David Wallace, DPT, PT",Physical Therapist,Male,"English
Chinese (Mandarin)","New York, NY",10022,4.98,41 reviews,4.97,5.00,False,https://www.zocdoc.com/professional/david-wallace-dpt-pt-210997
"Emma Viglucci, LMFT",Psychotherapist,Female,English,"New York, NY",10016,None,None,None,None,True,https://www.zocdoc.com/professional/emma-viglucci-lmft-298511
"Joyce Klestzick, LCSW, MSW",Psychotherapist,Female,English,"New York, NY",10011,5.00,4 reviews,5.00,5.00,False,https://www.zocdoc.com/professional/joyce-klestzick-lcsw-msw-242924
"Dr. Jennifer Lafontant, MD",OB-GYN,Female,"English
French
Spanish","Bronx, NY",10461,3.89,431 reviews,2.62,4.02,False,https://www.zocdoc.com/doctor/jennifer-lafontant-md-15807
